spec_id,price,item_id,name,official_price,brand,level,engine
11000352,,310387,2017款欧规 柴油3.0T路虎揽胜,1145000,路虎（进口）,中大型SUV,3.0T 258马力V6
11000379,,326359,=基本信息!$B$2,104.8万,路虎(进口),中大型SUV,3.0T 340马力 V6
11000214,,474504,路虎 揽胜运动 2016款 3.0T 柴油版,-,路虎,中大型SUV,3.0T 柴油
11000265,,287184,奔驰GLS450 2016款 3.0T汽油版_,134.3万,奔驰,大型SUV,3.0T 汽油
11000093,,305236,2017款 4.0L SE中东版,695000,日产(进口),大型SUV,4.0L 269马力 V6
11000260,,487067,2016款宝马X5 欧规 3.0T,890000,宝马,全尺寸SUV,3.0T 汽油
11000229,,306840,2016款 汽油2.7T 林肯MKX,55.98万,林肯,SUV,2.7T 汽油
11000436,,383204,宝马X5 2017款欧规 3.0T 汽油 北美版,-,宝马,中大型SUV,3.0T
11000286,,290895,2016款GLE4004MATIC SUV 3.0T ,119.8万,进口奔驰,大型SUV,3.0T 333马力 V6
11000264,,288224,奔驰GLS450 2017款 3.0T汽油版,134.3万,奔驰,大型SUV,3.0T 汽油
11000377,,338493,揽胜行政尊崇创世,332.8万,揽胜行政尊崇创世,大型SUV,5.0T
11000095,,297523,2017款 4.0L 低配中东版,565000,日产(进口),大型SUV,4.0L 269马力 V6
11000344,,320923,宝马 X6 2016款 xDrive35i 中东版,918000,宝马,中大型SUV,L6 3.0T
11000219,,291582,2016款 汽油2.7L 丰田普拉多 中东版,47.8万,丰田,中大型车,2.7L
11000299,,162161,2016款 卡宴3.0T柴油,119.8万,保时捷（进口）,大型SUV,3.0T 330马力V6
11000098,,313463,宝马 X3 2016款 xDrive28i 中东版,559000,宝马,中型SUV,L4 2.0T
11000383,,298946,=基本信息!$B$2,888000," 保时捷",中大型SUV,3.0T 262马力 V6
11000095,,298178,2017款 4.0L 低配中东版,565000,日产(进口),大型SUV,4.0L 269马力 V6
11000259,,156429,2016款 宝马 X3 xDrive28i,55.9万,宝马(进口),中型SUV,2.0T 245马力 L4
11000298,,384545,路虎揽胜运动S 2016款 3.0SC汽油版 欧规,1098000,路虎,中大型SUV,3.0T 340马力 V6
11000316,,363794,2017款 2.3T美规自动挡标配,400000,福特(进口),跑车,2.3T 314马力 L4
11000284,,277856,2016款GLE450 4MATIC SUV 3.0T coupe,124.8万,进口奔驰,大型SUV,3.0T 333马力 V6
11000346,,291398,2017款欧版 柴油2.0T路虎揽胜运动,94.8,路虎（进口）,中大型SUV,2.0T 213马力 L4
11000226,,296873,揽胜HSE 2016款 3.0SC汽油版 欧规,1558000,路虎,中大型SUV,3.0T 340马力 V6
11000093,,458011,2017款 4.0L SE中东版,695000,日产(进口),大型SUV,4.0L 269马力 V6
11000324,,289773,中东版宝马X5,718000,德国宝马,中大型SUV,3.0T
11000380,,372186,=基本信息!$B$2,83.80万,宝马(进口),中大型SUV,3.0T 306马力 L6
11000380,,474218,=基本信息!$B$2,83.80万,宝马(进口),中大型SUV,3.0T 306马力 L6
11000265,,304632,奔驰GLS450 2016款 3.0T汽油版_,134.3万,奔驰,大型SUV,3.0T 汽油
11000093,,185268,2017款 4.0L SE中东版,695000,日产(进口),大型SUV,4.0L 269马力 V6
11000358,,312950,奔驰2017款GLE43 加规,1248000,奔驰,中大型SUV,3.0T 333马力 V6
11000221,,327516,2016款 汽油2.3T 福特野马,40.58万,福特,跑车,2.3T 汽油
11000228,,196692,2016款普拉多2700 2气囊 后挂备胎 中东版,398000,丰田,中大型车,2.7L
11000098,,463819,宝马 X3 2016款 xDrive28i 中东版,559000,宝马,中型SUV,L4 2.0T
11000095,,496469,2017款 4.0L 低配中东版,565000,日产(进口),大型SUV,4.0L 269马力 V6
